"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/13/2026","7/13/2026","7/14/2026","META","META 7/13/2026 Call $690.00","STC","3","$0.90","$269.86"
"7/13/2026","7/13/2026","7/14/2026","META","META 7/13/2026 Call $690.00","BTO","1","$0.37","($37.04)"
"7/13/2026","7/13/2026","7/14/2026","META","META 7/13/2026 Call $690.00","BTO","2","$0.81","($162.08)"
"7/9/2026","7/9/2026","7/10/2026","MSFT","MSFT 7/10/2026 Call $400.00","STC","7","$0.08","$55.69"
"7/8/2026","7/8/2026","7/9/2026","AVGO","AVGO 7/10/2026 Call $400.00","STC","4","$3.05","$1,219.80"
"7/8/2026","7/8/2026","7/9/2026","AVGO","AVGO 7/10/2026 Call $400.00","BTO","1","$2.45","($245.04)"
"7/8/2026","7/8/2026","7/9/2026","AVGO","AVGO 7/10/2026 Call $400.00","BTO","1","$2.45","($245.04)"
"7/8/2026","7/8/2026","7/9/2026","AVGO","AVGO 7/10/2026 Call $400.00","BTO","2","$2.86","($572.08)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","2","$1.87","($374.08)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$2.75","($275.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$2.79","($279.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.05","($305.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.10","($310.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.10","($310.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","STC","1","$3.35","$334.94"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.10","($310.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","STC","3","$3.40","$1,019.84"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","2","$2.96","($592.08)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.00","($300.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","STC","2","$3.70","$739.89"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.30","($330.04)"
"7/7/2026","7/7/2026","7/8/2026","MSFT","MSFT 7/10/2026 Call $400.00","BTO","1","$3.80","($380.04)"
"7/6/2026","7/6/2026","7/6/2026","JEPQ","Cash Div: R/D 2026-07-01 P/D 2026-07-06 - 200 shares at 0.63658","CDIV","","","$127.32"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
